city,date,team1,team2,toss_winner,toss_decision,winner,First Innings Score
Abu Dhabi,19/09/2020,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,
Dubai,20/09/2020,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,
Abu Dhabi,21/10/2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,
Sharjah,03/11/2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,
Sharjah,22/09/2020,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,
Abu Dhabi,24/10/2020,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,
Dubai,24/10/2020,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,
Abu Dhabi,28/10/2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,
Sharjah,09/10/2020,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,
Abu Dhabi,07/10/2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,
Sharjah,31/10/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,
Abu Dhabi,01/10/2020,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,
Dubai,30/09/2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,
Abu Dhabi,02/11/2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,
Abu Dhabi,01/11/2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,
Dubai,11/10/2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,
Abu Dhabi,23/09/2020,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,
Sharjah,17/10/2020,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,
Dubai,24/09/2020,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,
Abu Dhabi,06/10/2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,
Abu Dhabi,18/10/2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,
Dubai,04/10/2020,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,
Abu Dhabi,03/10/2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,
Sharjah,03/10/2020,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,
Dubai,02/10/2020,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,
Dubai,18/10/2020,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,
Dubai,22/10/2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,
Dubai,05/10/2020,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,
Sharjah,26/10/2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,
Sharjah,23/10/2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,
Dubai,17/10/2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,
Abu Dhabi,10/10/2020,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,
Dubai,27/10/2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,
Dubai,10/10/2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,
Abu Dhabi,16/10/2020,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,
Sharjah,27/09/2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,
Dubai,13/10/2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,
Abu Dhabi,11/10/2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,
Dubai,01/11/2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,
Sharjah,15/10/2020,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,
Abu Dhabi,29/09/2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,
Abu Dhabi,19/10/2020,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,
Dubai,21/09/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,
Dubai,31/10/2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,
Dubai,29/10/2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,
Abu Dhabi,30/10/2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,
Sharjah,04/10/2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,
Dubai,25/09/2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,
Sharjah,12/10/2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,
Abu Dhabi,25/10/2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,
Dubai,08/10/2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,
Dubai,14/10/2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,
Dubai,25/10/2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,
Abu Dhabi,26/09/2020,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,
Dubai,20/10/2020,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,
Dubai,28/09/2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,
Dubai,05/11/2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,
Abu Dhabi,06/11/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,
Abu Dhabi,08/11/2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,
Dubai,10/11/2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,
Dubai,19/09/2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,156
Abu Dhabi,20/09/2021,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kolkata Knight Riders,92
Dubai,21/09/2021,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,185
Dubai,22/09/2021,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,134
Abu Dhabi,23/09/2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,156
Sharjah,24/09/2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,156
Abu Dhabi,25/09/2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,154
Sharjah,25/09/2021,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,125
Abu Dhabi,26/09/2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,171
Dubai,26/09/2021,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,165
Dubai,27/09/2021,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,164
Sharjah,28/09/2021,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,127
Abu Dhabi,28/09/2021,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,135
Dubai,29/09/2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,149
Sharjah,30/09/2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,134
Dubai,01/10/2021,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,
Sharjah,02/10/2021,Mumbai Indians,Delhi Capitals,,,,
Abu Dhabi,02/10/2021,Rajasthan Royals,Chennai Super Kings,,,,
Sharjah,03/10/2021,Royal Challengers Bangalore,Kings XI Punjab,,,,
Dubai,03/10/2021,Kolkata Knight Riders,Sunrisers Hyderabad,,,,
Dubai,04/10/2021,Delhi Capitals,Chennai Super Kings,,,,
Sharjah,05/10/2021,Rajasthan Royals,Mumbai Indians,,,,
Abu Dhabi,06/10/2021,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,
Dubai,07/10/2021,Chennai Super Kings,Kings XI Punjab,,,,
Sharjah,07/10/2021,Kolkata Knight Riders,Rajasthan Royals,,,,
Abu Dhabi,08/10/2021,Sunrisers Hyderabad,Mumbai Indians,,,,
Dubai,08/10/2021,Royal Challengers Bangalore,Delhi Capitals,,,,
Dubai,10/10/2021,,,,,,
Sharjah,11/10/2021,,,,,,
Sharjah,13/10/2021,,,,,,
Dubai,15/10/2021,,,,,,
